status,ipAddress,host,request,userAgent,countryCode,sizeBytes,durationSecs,timestamp
200,202.136.82.198,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,16534,96.103,2026-08-24T00:24:30.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,30.002,2026-08-24T00:24:17.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,41.309,2026-08-24T00:24:07.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,240,53.784,2026-08-24T00:23:49.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,914,54.726,2026-08-24T00:23:01.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,535,48.923,2026-08-24T00:22:55.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,49,36.788,2026-08-24T00:22:55.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,16534,102.032,2026-08-24T00:22:54.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,225,35.313,2026-08-24T00:22:34.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,51.224,2026-08-24T00:22:33.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,221,43.898,2026-08-24T00:22:29.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,76.514,2026-08-24T00:22:27.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,226,36.719,2026-08-24T00:22:23.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,66.191,2026-08-24T00:22:22.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,225,44.397,2026-08-24T00:22:08.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,41.95,2026-08-24T00:22:00.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,231,26.971,2026-08-24T00:21:55.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,48.639,2026-08-24T00:21:48.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,249,56.375,2026-08-24T00:21:43.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,47.592,2026-08-24T00:21:40.000000Z
200,180.247.176.86,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,511,57.368,2026-08-24T00:21:15.000000Z
200,180.253.41.141,smknurulhidayah.my.id,"GET /js/page-scripts/monitoring.js?v=1787530148 HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,34089,2.779,2026-08-24T00:21:07.000000Z
200,180.247.176.86,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,535,45.88,2026-08-24T00:21:07.000000Z
200,180.247.176.86,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,16541,72.852,2026-08-24T00:21:04.000000Z
200,180.247.176.86,smknurulhidayah.my.id,"POST /login HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,90,340.511,2026-08-24T00:21:03.000000Z
